text,label
É possível alterar minha senha,pergunta
Como posso atualizar meu endereço,pergunta
Como cancelo minha assinatura,pergunta
Quantos itens estão no estoque,pergunta
Vocês têm suporte 24 horas,pergunta
Há garantia para este produto,pergunta
Posso compartilhar minha conta,pergunta
Posso ver detalhes de uma fatura,pergunta
Existe algum desconto disponível,pergunta
Há taxa adicional para entrega rápida,pergunta
O que eu preciso fazer para me registrar,pergunta
Como posso pausar minha conta,pergunta
Há taxa adicional para entrega rápida,pergunta
Posso usar cupons de desconto,pergunta
Quanto tempo leva para a entrega,pergunta
Existe algum desconto disponível,pergunta
Como posso trocar minha assinatura,pergunta
Posso ver detalhes de uma fatura,pergunta
Qual a política de devoluções,pergunta
Como cancelo minha assinatura,pergunta
Posso reservar este item,pergunta
É possível alterar minha senha,pergunta
Preciso fazer agendamento prévio,pergunta
Como configuro uma nova senha,pergunta
Vocês entregam em fins de semana,pergunta
Como posso pausar minha conta,pergunta
Qual é o status do pedido,pergunta
Quais documentos preciso para cadastro,pergunta
Como faço para sair da conta,pergunta
Como faço para receber notificações,pergunta
Como faço para confirmar meu email,pergunta
Qual o horário de atendimento,pergunta
Como faço para receber notificações,pergunta
Vocês têm suporte 24 horas,pergunta
Há garantia para este produto,pergunta
Quais documentos preciso para cadastro,pergunta
Qual é o status do pedido,pergunta
Como posso acessar meu perfil,pergunta
Vocês entregam em fins de semana,pergunta
Posso adicionar itens ao meu pedido,pergunta
Como faço para confirmar meu email,pergunta
Tenho direito a reembolso,pergunta
Como posso trocar minha assinatura,pergunta
Posso compartilhar minha conta,pergunta
Posso cancelar minha inscrição,pergunta
Preciso fazer agendamento prévio,pergunta
Como posso atualizar meu endereço,pergunta
Preciso fazer agendamento prévio,pergunta
Posso cancelar minha inscrição,pergunta
Quais documentos preciso para cadastro,pergunta
Como faço para confirmar meu email,pergunta
Há garantia para este produto,pergunta
Posso receber faturas digitais,pergunta
Como posso falar com o suporte,pergunta
Há garantia para este produto,pergunta
Onde vejo o histórico de compras,pergunta
Posso parcelar minha compra,pergunta
Posso cancelar minha inscrição,pergunta
Quais são as formas de pagamento,pergunta
Como faço para sair da conta,pergunta
Como faço para receber notificações,pergunta
Posso receber faturas digitais,pergunta
Onde encontro as configurações de privacidade,pergunta
Posso ver detalhes de uma fatura,pergunta
Posso adicionar itens ao meu pedido,pergunta
Vocês entregam em fins de semana,pergunta
Como posso atualizar meu cadastro,pergunta
Qual é o status do pedido,pergunta
É possível alterar minha senha,pergunta
Vocês entregam em fins de semana,pergunta
Tenho direito a reembolso,pergunta
Posso usar cupons de desconto,pergunta
O produto é original,pergunta
Como faço para alterar meu nome,pergunta
Posso reservar este item,pergunta
Como posso trocar minha assinatura,pergunta
Como posso falar com o suporte,pergunta
Qual o horário de atendimento,pergunta
Posso adicionar itens ao meu pedido,pergunta
Há taxa adicional para entrega rápida,pergunta
Como posso pausar minha conta,pergunta
Posso compartilhar minha conta,pergunta
O que eu preciso fazer para me registrar,pergunta
Posso reservar este item,pergunta
Posso parcelar minha compra,pergunta
Vocês enviam para outros países,pergunta
Há taxa adicional para entrega rápida,pergunta
Posso usar cupons de desconto,pergunta
Qual a política de devoluções,pergunta
Onde vejo o histórico de compras,pergunta
Posso adicionar itens ao meu pedido,pergunta
Posso usar cupons de desconto,pergunta
Vocês têm suporte 24 horas,pergunta
Quais documentos preciso para cadastro,pergunta
Qual o horário de atendimento,pergunta
Quantos itens estão no estoque,pergunta
Como posso atualizar meu endereço,pergunta
Como posso atualizar meu cadastro,pergunta
Onde encontro o número do meu pedido,pergunta
Como posso falar com o suporte,pergunta
Como faço para confirmar meu email,pergunta
Quais são as formas de pagamento,pergunta
Como faço para rastrear meu pedido,pergunta
Qual a validade do produto,pergunta
O que acontece se o pedido atrasar,pergunta
Como posso atualizar meu endereço,pergunta
Como posso acessar meu perfil,pergunta
Posso receber faturas digitais,pergunta
Posso adicionar itens ao meu pedido,pergunta
Vocês têm suporte 24 horas,pergunta
Posso reservar este item,pergunta
Como faço para rastrear meu pedido,pergunta
Tenho direito a reembolso,pergunta
É possível alterar minha senha,pergunta
Quanto tempo leva para a entrega,pergunta
Como posso atualizar meu cadastro,pergunta
Onde encontro as configurações de privacidade,pergunta
Qual a política de devoluções,pergunta
Tenho direito a reembolso,pergunta
Como faço para sair da conta,pergunta
O que eu preciso fazer para me registrar,pergunta
Como posso pausar minha conta,pergunta
Como posso pausar minha conta,pergunta
Qual a validade do produto,pergunta
Qual a política de devoluções,pergunta
Como faço para rastrear meu pedido,pergunta
Qual a validade do produto,pergunta
Como faço para confirmar meu email,pergunta
Como faço para alterar meu nome,pergunta
Como faço para alterar meu nome,pergunta
Vocês possuem loja física,pergunta
Como cancelo minha assinatura,pergunta
Posso compartilhar minha conta,pergunta
Posso usar cupons de desconto,pergunta
Posso receber faturas digitais,pergunta
Como configuro uma nova senha,pergunta
Preciso fazer agendamento prévio,pergunta
Como posso trocar minha assinatura,pergunta
O que acontece se o pedido atrasar,pergunta
O que eu preciso fazer para me registrar,pergunta
Posso receber faturas digitais,pergunta
Como faço para rastrear meu pedido,pergunta
Há garantia para este produto,pergunta
Como configuro uma nova senha,pergunta
Qual o horário de atendimento,pergunta
Onde encontro as configurações de privacidade,pergunta
Quando o evento começa,pergunta
Posso adicionar itens ao meu pedido,pergunta
Posso receber faturas digitais,pergunta
Como cancelo minha assinatura,pergunta
Vocês têm suporte 24 horas,pergunta
Posso pagar com cartão,pergunta
Preciso fazer agendamento prévio,pergunta
Como faço para alterar meu nome,pergunta
Vocês aceitam pagamentos via PIX,pergunta
Posso receber faturas digitais,pergunta
Tenho direito a reembolso,pergunta
Como posso atualizar meu cadastro,pergunta
Posso adicionar itens ao meu pedido,pergunta
Posso parcelar minha compra,pergunta
Quais documentos preciso para cadastro,pergunta
Como faço para alterar meu nome,pergunta
Posso cancelar minha inscrição,pergunta
